枠名,song_id,歌唱順,配信日,枠URL,コラボ相手様
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0055,5,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=2085,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0010,6,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=2438,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0056,7,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=3865,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0057,8,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=4180,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0058,9,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=4544,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0059,10,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=5333,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0060,11,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=5652,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0038,12,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=5962,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0061,13,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=6290,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0062,14,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=6634,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0063,15,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=7753,
